,행정기관,총인구수,0~4세,5~9세,0~9세,세대당인구,실내놀이터
0,중곡1동,15239,264,256,520,1.76,3
1,중곡2동,20521,302,489,791,1.94,3
2,중곡3동,15727,272,288,560,1.85,3
3,중곡4동,27594,454,525,979,2.11,3
4,능동,11097,220,229,449,1.71,1
5,구의1동,23127,365,467,832,1.77,3
6,구의2동,25610,528,772,1300,2.23,3
7,구의3동,27840,640,867,1507,2.31,3
8,광장동,33971,660,1716,2376,2.87,0
9,자양1동,21833,293,398,691,1.82,3
10,자양2동,23628,531,641,1172,2.17,3
11,자양3동,27221,798,1053,1851,2.48,3
12,자양4동,19883,370,425,795,1.81,3
13,화양동,23193,164,162,326,1.28,0
14,군자동,19070,318,396,714,1.69,0
