Unnamed: 0,행정동명,총인구수,0~4세,5~9세,0~9세,세대당인구,실내놀이터,소득분위_1,가구수_1,소득분위_2,가구수_2,소득분위_3,가구수_3
0,중곡1동,15239,264,256,520,1.76,3,6분위,8508.0,6분위,8644.0,6분위,8644.0
1,중곡2동,20521,302,489,791,1.94,3,6분위,10545.0,6분위,10569.0,6분위,10569.0
2,중곡3동,15727,272,288,560,1.85,3,5분위,8551.0,5분위,8495.0,5분위,8495.0
3,중곡4동,27594,454,525,979,2.11,3,6분위,13163.0,6분위,13022.0,6분위,13022.0
4,능동,11097,220,229,449,1.71,1,6분위,6510.0,6분위,6456.0,6분위,6456.0
5,구의1동,23127,365,467,832,1.77,3,6분위,12108.0,6분위,12519.0,6분위,12519.0
6,구의2동,25610,528,772,1300,2.23,3,6분위,11685.0,6분위,11380.0,6분위,11380.0
7,구의3동,27840,640,867,1507,2.31,3,8분위,12201.0,8분위,12048.0,8분위,12048.0
8,광장동,33971,660,1716,2376,2.87,0,9분위,12065.0,9분위,11851.0,9분위,11851.0
9,자양1동,21833,293,398,691,1.82,3,6분위,11855.0,6분위,11960.0,6분위,11960.0
10,자양2동,23628,531,641,1172,2.17,3,7분위,11214.0,7분위,10890.0,7분위,10890.0
11,자양3동,27221,798,1053,1851,2.48,3,8분위,11170.0,8분위,10951.0,8분위,10951.0
12,자양4동,19883,370,425,795,1.81,3,6분위,9474.0,6분위,10929.0,6분위,10929.0
13,화양동,23193,164,162,326,1.28,0,6분위,17039.0,6분위,18696.0,6분위,18696.0
14,군자동,19070,318,396,714,1.69,0,6분위,11155.0,6분위,11293.0,6분위,11293.0
