,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
95,자양2동,127.085424954591,37.5294617641989,514.101577430462,0,206.757908404904,3,152.871864276355,12,239.109557539747,2,1,0,4
96,자양2동,127.085419965842,37.5303631026365,454.053265766629,0,146.32981935664,4,111.642798994785,12,184.922851891392,2,1,0,4
97,자양2동,127.085414976871,37.5312644409356,394.145183366396,0,86.0116495437734,5,66.8203043750499,17,131.393129034493,3,1,0,4
98,자양2동,127.085409987677,37.5321657790962,334.452684764436,0,26.5629504880811,5,25.6001934113755,21,87.4869953459651,3,1,0,4
108,자양2동,127.086556718577,37.5294657317353,515.881963417138,0,243.640708841079,3,238.101518802883,11,122.715937858988,1,1,0,4
109,자양2동,127.086551743446,37.5303670703013,455.948590353272,0,185.17208562642,4,195.271796041429,12,104.660376699404,2,1,0,4
110,자양2동,127.086546768093,37.5312684087288,396.189776330126,0,128.604408874565,5,163.987733327534,12,119.041785436287,2,1,0,4
111,자양2동,127.086541792519,37.5321697470178,336.698470200061,0,78.1790716779548,5,151.575177718873,17,73.3512612400725,2,1,0,4
121,자양2동,127.087688482785,37.5294696884263,547.462131143839,0,248.772415800948,3,333.28812981606,9,68.4922879417286,1,1,0,4
122,자양2동,127.087683521272,37.5303710271204,491.28541611071296,0,191.592726189788,4,303.994522078265,10,21.8707923863674,1,1,0,4
123,자양2동,127.087678559537,37.5312723656759,436.268751924666,0,137.297126017551,4,284.722156786515,14,59.9016913172613,2,1,0,4
124,자양2동,127.087673597582,37.5321737040929,382.912484380674,0,91.1915199172701,6,277.566357829818,14,118.409589503925,2,1,0,4
134,자양2동,127.088820247213,37.529473634272,604.187225953215,0,283.436525076616,3,411.82974080118896,7,161.460132236685,1,1,0,4
135,자양2동,127.088815299318,37.5303749730937,553.697674530194,0,223.573220445852,3,381.78483705083295,8,147.477913230666,12,1,0,4
136,자양2동,127.088810351203,37.5312763117769,505.413393358428,0,164.185652550973,4,359.498664619954,10,157.330932618177,14,1,0,4
137,자양2동,127.088805402867,37.5321776503216,460.029290827662,0,106.075863203414,5,331.59489287195,13,187.294503124452,28,1,0,4
138,자양2동,127.08880045431,37.5330789887279,418.489975597963,0,53.5766726248011,7,290.140850808614,14,229.626554896384,24,1,0,4
147,자양2동,127.089952011862,37.5294775692722,647.58249046181,0,295.722458195536,2,315.186628240431,1,233.128319171548,12,1,0,4
148,자양2동,127.089947077585,37.5303789082212,614.78427010373,0,238.73238859298,3,274.573177310535,6,211.39478389801,13,1,0,4
149,자양2동,127.089942143088,37.5312802470318,586.413416876816,0,184.005273734706,5,242.409022680172,9,202.126062227826,26,1,0,4
150,자양2동,127.089937208372,37.5321815857039,555.320457434138,0,134.335880095977,5,222.390913846348,11,179.66180116483,35,1,0,4
156,자양2동,127.091083776731,37.529481493427,549.902808806538,0,355.406534920711,1,246.633173427328,1,136.512757769207,11,1,0,4
157,자양2동,127.091078856072,37.530382832503,510.764992729336,0,302.52812446465,3,191.750649313902,4,94.1682180429576,18,1,0,4
158,자양2동,127.091073935194,37.5312841714405,476.123114532619,0,247.189951469447,4,141.537168832447,6,78.0793272575256,29,1,0,4
