시설명,경도,위도
광장초등학교,127.1017999,37.5485492
구의초등학교,127.0803118,37.5430074
동의초등학교,127.0990473,37.5534224
동자초등학교,127.0721792,37.5350582
신자초등학교,127.0755876,37.5302455
자양초등학교,127.0797396,37.536965
장안초등학교,127.0724025,37.5498765
양남초등학교,127.0892343,37.5311232
용마초등학교,127.0835274,37.5578274
성동초등학교,127.089281,37.5332814
경복초등학교,127.0867934,37.5498139
광남초등학교,127.1006653,37.5407881
구남초등학교,127.0922888,37.5370966
성자초등학교,127.0834083,37.5314936
세종초등학교,127.0728646,37.5530111
신양초등학교,127.0699953,37.5346821
용곡초등학교,127.088453,37.5671086
중광초등학교,127.082693,37.5652421
중마초등학교,127.0790239,37.5657908
광진초등학교,127.0913325,37.547682
양진초등학교,127.0983114,37.5445752
광남유치원,127.1006983,37.5416266
선경유치원,127.0897851,37.533396
어린이회관유치원,127.0783044,37.547246
성산유치원,127.0841775,37.5329088
슬기유치원,127.0925744,37.552015
대원(구.우성)유치원,127.075652,37.5345769
선양유치원,127.0711662,37.5543276
인애유치원,127.0683425,37.5338438
프라임유치원,127.0983573,37.538767
보성유치원,127.1043802,37.5436806
한일유치원,127.0715175,37.5351653
광장유치원,127.1052329,37.5485409
구의병설유치원,127.0803118,37.5430074
신자병설유치원,127.0755876,37.5302455
양남병설유치원,127.0892343,37.5311232
양진병설유치원,127.0983114,37.5445752
자양병설유치원,127.0797396,37.5369882
동심유치원,127.0726727,37.5517128
선화유치원,127.0867934,37.5498139
영화유치원,127.0977191,37.554053
청구이화유치원,127.0970224,37.5418216
중광병설유치원,127.082693,37.5652421
사랑의어린이집,127.0970671,37.541017
신나는어린이집,127.0886955,37.541318
좋은어린이집,127.0903183,37.5362038
능동어린이집,127.0819676,37.553551
자양어린이집,127.0752337,37.532877
으뜸어린이집,127.0711744,37.530797
중곡샛별어린이집,127.0802621,37.570926
키즈용맹(구.하은)어린이집,127.0911111,37.5585901
구의2동어린이집,127.0962466,37.5502106
선린어린이집,127.0769224,37.533347
구의3동어린이집,127.0951165,37.539328
성심어린이집,127.0849937,37.556563
상명어린이집,127.0814193,37.5699309
예지어린이집,127.073468,37.557168
명성어린이집,127.0863301,37.5400822
우리티움아이어린이집,127.0908389,37.540118
꿈동산몬테소리어린이집,127.0760649,37.5558199
자양도담어린이집,127.0799278,37.536172
아이터어린이집,127.0837759,37.5438489
능동꿈맞이어린이집,127.0859139,37.5528302
한국켄트외국인학교,127.0863403,37.5471635
재한몽골학교,127.1011043,37.5470934
광진학교,127.0915615,37.5376675
