,행정동명,총인구수,0~4세,5~9세,0~9세,소득분위,가구수,법정동,법정동_실내놀이터
0,중곡1동,15239,264,256,520,6.0,8644.0,중곡동,5
1,중곡2동,20521,302,489,791,6.0,10569.0,중곡동,5
2,중곡3동,15727,272,288,560,5.0,8495.0,중곡동,5
3,중곡4동,27594,454,525,979,6.0,13022.0,중곡동,5
4,능동,11097,220,229,449,6.0,6456.0,능동,1
5,구의1동,23127,365,467,832,6.0,12519.0,구의동,4
6,구의2동,25610,528,772,1300,6.0,11380.0,구의동,4
7,구의3동,27840,640,867,1507,8.0,12048.0,구의동,4
8,광장동,33971,660,1716,2376,9.0,11851.0,광장동,1
9,자양1동,21833,293,398,691,6.0,11960.0,자양동,5
10,자양2동,23628,531,641,1172,7.0,10890.0,자양동,5
11,자양3동,27221,798,1053,1851,8.0,10951.0,자양동,5
12,자양4동,19883,370,425,795,6.0,10929.0,자양동,5
13,화양동,23193,164,162,326,6.0,18696.0,화양동,0
14,군자동,19070,318,396,714,6.0,11293.0,군자동,1
